nrNodes nrCollisions nrTransmissions OverallEnergy nrReceived nrProcessed timeToFly
180 1022 120815 21033.454633 119792 120814 159344353.28
190 1067 127829 22254.5666703 126762 127829 168595202.048
200 1168 134265 23375.0509978 133097 134265 177083719.68
210 1234 140617 24480.9112289 139383 140617 185461448.704
220 1479 148008 25767.6576031 146529 148008 195209527.296
230 1507 154473 26893.1907256 152966 154473 203736293.376
240 1683 161387 28096.8931246 159704 161387 212855250.944
250 1906 167334 29132.2443203 165428 167334 220698820.608
260 2124 173900 30275.3611776 171774 173898 229358796.8
270 2421 181040 31518.4093594 178619 181040 238775828.48
280 2323 187729 32682.9400719 185406 187729 247598030.848
290 2710 193975 33770.3460864 191265 193975 255835955.2
300 2639 201166 35022.2731837 198526 201165 265320251.392
310 2844 207599 36142.235222 204754 207598 273804812.288
320 3113 214911 37415.2279818 211798 214911 283448696.832
330 3165 221243 38517.6062853 218078 221243 291800047.616
340 3713 228632 39804.0044667 224919 228632 301545488.384
350 3802 234505 40826.4725299 230703 234505 309291458.56
360 4178 241152 41983.6911944 236974 241152 318058266.624
370 3782 248192 43209.3297377 244409 248191 327343407.104
380 4551 254848 44368.1152696 250297 254848 336122085.376
390 4842 261820 45581.9152589 256978 261820 345317539.84
400 4815 268289 46708.144767 263471 268286 353849581.568
410 5000 275739 48005.1628278 270738 275738 363675475.968
420 4974 281677 49038.947156 276702 281676 371507175.424
430 5716 287497 50052.1881108 281780 287496 379183243.264
440 5821 295670 51475.0778573 289847 295668 389962711.04
450 5619 301783 52539.3290527 296164 301783 398025220.096
460 6209 308403 53691.8471148 302194 308403 406756417.536
470 6629 315180 54871.6983091 308550 315179 415694684.16
480 6660 321840 56031.1802266 315180 321840 424478638.08
490 7253 328282 57152.7091323 321028 328281 432975069.184
500 7420 335282 58371.3838203 327861 335281 442207453.184
1 0 722 125.697589248 722 722 952254.464
10 0 6806 1184.8999895 6806 6806 8976515.072
20 12 13296 2314.78552166 13284 13296 17536253.952
30 28 20114 3501.77466778 20086 20114 26528595.968
40 22 26866 4677.27345254 26844 26866 35433889.792
50 40 33730 5872.27103232 33690 33730 44486901.76
60 94 40496 7050.20716646 40402 40496 53410660.352
70 136 47152 8208.99269837 47016 47152 62189338.624
80 158 53514 9316.59389338 53356 53514 70580256.768
90 278 60598 10549.8926776 60320 60598 79923429.376
100 354 67040 11671.4215834 66686 67040 88419860.48
110 354 73717 12833.8631393 73363 73717 97226235.904
120 465 80596 14031.4721649 80131 80596 106299031.552
130 476 87475 15229.0811904 86999 87475 115371827.2
140 654 94116 16385.2552765 93462 94116 124130721.792
150 741 100922 17570.155266 100181 100922 133107236.864
160 738 107628 18737.6456172 106889 107627 141951860.736
170 860 114525 19938.3883776 113665 114525 151048396.8
180 1018 120175 20922.0329472 119156 120174 158500249.6
190 1020 127749 22240.6389596 126729 127749 168489689.088
200 1036 133952 23320.5588296 132916 133952 176670900.224
210 1273 141266 24593.8997821 139992 141265 186317422.592
220 1445 146947 25582.9413396 145501 146946 193810161.664
230 1492 154276 26858.893738 152784 154276 203476467.712
240 1728 161042 28036.8298721 159314 161042 212400226.304
250 1847 167863 29224.3413074 166016 167863 221396525.056
260 1967 174350 30353.7045504 172383 174350 229952307.2
270 2025 181184 31543.4792387 179159 181184 238965751.808
280 2585 187290 32606.5117594 184702 187287 247019028.48
290 2568 194717 33899.5256033 192149 194717 256814587.904
300 2686 200789 34956.638847 198102 200788 264823021.568
310 2540 208092 36228.0647393 205552 208092 274455035.904
320 3110 214720 37381.9755725 211610 214720 283196784.64
330 3195 221616 38582.5442365 218420 221615 292292001.792
340 3408 227966 39688.0562749 224558 227966 300667092.992
350 3525 234600 40843.0116864 231075 234600 309416755.2
360 3838 241602 42062.0345672 237764 241602 318651777.024
370 3943 248750 43306.47552 244806 248749 328079360.0
380 4223 254936 44383.4357514 250713 254936 336238149.632
390 4378 260633 45375.2628511 256254 260632 343751991.296
400 4665 267612 46590.281515 262947 267612 352956678.144
410 5016 275304 47929.4309007 270288 275304 363101749.248
420 5208 281695 49042.0808909 276487 281695 371530915.84
430 5534 288472 50221.9320852 282938 288472 380469182.464
440 6099 295357 51420.5856891 289257 295356 389549891.584
450 6304 301180 52434.3489331 294876 301180 397229916.16
460 6393 309604 53900.9368719 303209 309602 408340430.848
